,number,value,datetime_start,datetime_complete,duration,params_affinity,params_agglo_metric,params_agglo_n,params_alpha,params_assign_lables,params_clusterer,params_coef0,params_degree,params_eigen_solver,params_epsilon,params_hdbscan_algo,params_hdbscan_leaf_size,params_hdbscan_method,params_hdbscan_metric,params_hdbscan_n,params_kmeans_algo,params_kmeans_init,params_kmeans_n,params_kmeans_n_init,params_kmeans_tol,params_linkage,params_max_eps,params_min_dist,params_min_samples,params_n_oversamples,params_normalizer,params_optics_algo,params_optics_leaf_size,params_optics_method,params_optics_metric,params_optics_n,params_p,params_pca_n,params_pca_tol,params_perplexity,params_reducer,params_solver,params_spec_cluster,params_spec_gamma,params_spec_n,params_spec_n_init,params_spec_n_neighbors,params_tightness,params_tsne_init,params_tsne_lr,params_tsne_method,params_tsne_metric,params_tsne_n,params_umap_metric,params_umap_n,params_umap_n_neighbors,params_whiten,params_xi,state
196,196,0.2668749690055847,2024-05-01 05:53:00.658549,2024-05-01 05:56:49.327727,0 days 00:03:48.669178,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,,,,,,,,,,,29.46844010617247,t-SNE,,,,,,,14.140390782144749,pca,50.0,exact,sokalmichener,17.0,,,,,,COMPLETE
197,197,0.5057011694289419,2024-05-01 05:56:49.328797,2024-05-01 05:56:49.646260,0 days 00:00:00.317463,,euclidean,10.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,6.3672152975642256,,PCA,full,,,,,,,,,,,,,,,True,,COMPLETE
198,198,0.9515010733932888,2024-05-01 05:56:49.646997,2024-05-01 05:56:49.965380,0 days 00:00:00.318383,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,3.0,5.915697475997299,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
199,199,-1.0,2024-05-01 05:56:49.968712,2024-05-01 05:56:52.226485,0 days 00:00:02.257773,,,,,,OPTICS,,,,,,,,,,,,,,,,1000.0,,,1.0,LU,auto,30.0,dbscan,correlation,162.0,,3.0,5.901200338587631,,PCA,full,,,,,,,,,,,,,,,False,0.25,COMPLETE
200,200,0.9515010733932888,2024-05-01 05:56:52.227066,2024-05-01 05:56:52.473910,0 days 00:00:00.246844,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,LU,,,,,,,3.0,5.596615482160816,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
201,201,0.9515010733932888,2024-05-01 05:56:52.474903,2024-05-01 05:56:52.768317,0 days 00:00:00.293414,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,LU,,,,,,,3.0,5.486208442806822,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
202,202,0.9515010733932888,2024-05-01 05:56:52.769294,2024-05-01 05:56:53.039422,0 days 00:00:00.270128,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,LU,,,,,,,3.0,5.556094094740896,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
203,203,0.9515010733932888,2024-05-01 05:56:53.040151,2024-05-01 05:56:53.326501,0 days 00:00:00.286350,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,LU,,,,,,,3.0,5.473549961023705,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
204,204,0.9027885185953434,2024-05-01 05:56:53.327269,2024-05-01 05:56:53.596338,0 days 00:00:00.269069,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,3.0,5.597116735655583,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
205,205,0.9515010733932888,2024-05-01 05:56:53.597064,2024-05-01 05:56:53.854993,0 days 00:00:00.257929,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,LU,,,,,,,3.0,5.615085472529575,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
206,206,0.5832754278360341,2024-05-01 05:56:53.855763,2024-05-01 05:56:54.080039,0 days 00:00:00.224276,,,,,,KMeans,,,,,,,,,,lloyd,k-means++,7.0,,1e-06,,,,,2.0,LU,,,,,,,3.0,5.483664914105514,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
207,207,0.9515244109188541,2024-05-01 05:56:54.080827,2024-05-01 05:56:54.358053,0 days 00:00:00.277226,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.092426931916663,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
208,208,0.9515244109188541,2024-05-01 05:56:54.358985,2024-05-01 05:56:54.635172,0 days 00:00:00.276187,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.191370526822851,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
209,209,0.9028471814918264,2024-05-01 05:56:54.635941,2024-05-01 05:56:54.890181,0 days 00:00:00.254240,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.285191433964652,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
210,210,0.9515244109188541,2024-05-01 05:56:54.891125,2024-05-01 05:56:55.162934,0 days 00:00:00.271809,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.683489310868492,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
211,211,0.9515244109188541,2024-05-01 05:56:55.164014,2024-05-01 05:56:55.510696,0 days 00:00:00.346682,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.6993579360134925,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
212,212,0.9515244109188541,2024-05-01 05:56:55.511748,2024-05-01 05:56:55.788241,0 days 00:00:00.276493,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.804805405914759,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
213,213,0.9515244109188541,2024-05-01 05:56:55.789243,2024-05-01 05:56:56.063518,0 days 00:00:00.274275,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.114921739404445,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
214,214,0.9028471814918264,2024-05-01 05:56:56.064494,2024-05-01 05:56:56.402062,0 days 00:00:00.337568,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.924975223960889,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
215,215,0.9515244109188541,2024-05-01 05:56:56.402824,2024-05-01 05:56:56.716930,0 days 00:00:00.314106,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.592545383084057,,PCA,full,,,,,,,,,,,,,,,False,,COMPLETE
216,216,0.9515244109188539,2024-05-01 05:56:56.717873,2024-05-01 05:56:56.932571,0 days 00:00:00.214698,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.232435596842791,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
217,217,0.9515244109188539,2024-05-01 05:56:56.933347,2024-05-01 05:56:57.153390,0 days 00:00:00.220043,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.440345107236911,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
218,218,-1.0,2024-05-01 05:56:57.154145,2024-05-01 05:56:57.259426,0 days 00:00:00.105281,precomputed_nearest_neighbors,,,,cluster_qr,Spectral,26.065439462568985,5.0,amg,,,,,,,,,,,,,,,,1.0,LU,,,,,,,2.0,7.279491177730829,,PCA,randomized,8.0,7.6,14.0,6.0,157.0,,,,,,,,,,False,,COMPLETE
219,219,0.9515244109188539,2024-05-01 05:56:57.260124,2024-05-01 05:56:57.485321,0 days 00:00:00.225197,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,6.665819824152831,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
220,220,0.5556712919497254,2024-05-01 05:56:57.486096,2024-05-01 05:56:57.730707,0 days 00:00:00.244611,,euclidean,17.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,none,,,,,,,2.0,6.678963825812865,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
221,221,0.9515244109188539,2024-05-01 05:56:57.731462,2024-05-01 05:56:57.946594,0 days 00:00:00.215132,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.684923514110473,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
222,222,0.9515244109188539,2024-05-01 05:56:57.947338,2024-05-01 05:56:58.170482,0 days 00:00:00.223144,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,8.113761787530912,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
223,223,0.9515244109188539,2024-05-01 05:56:58.171243,2024-05-01 05:56:58.401328,0 days 00:00:00.230085,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,8.339869193278965,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
224,224,0.6877969029192221,2024-05-01 05:56:58.402142,2024-05-01 05:56:58.629510,0 days 00:00:00.227368,,euclidean,8.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.703712020530374,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
225,225,0.9028471814918176,2024-05-01 05:56:58.630512,2024-05-01 05:56:58.846691,0 days 00:00:00.216179,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,8.453466311954354,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
226,226,0.5659979581832886,2024-05-01 05:56:58.847836,2024-05-01 05:57:09.899716,0 days 00:00:11.051880,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,0.15000000000000002,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,braycurtis,17.0,397.0,,,COMPLETE
227,227,0.9515244109188539,2024-05-01 05:57:09.900711,2024-05-01 05:57:10.132564,0 days 00:00:00.231853,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.850911128001655,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
228,228,0.9028471814918176,2024-05-01 05:57:10.133542,2024-05-01 05:57:10.349099,0 days 00:00:00.215557,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.991597614517269,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
229,229,-1.0,2024-05-01 05:57:10.350089,2024-05-01 05:57:10.548215,0 days 00:00:00.198126,,,,4.6,,HDBSCAN,,,,7.7,brute,35.0,leaf,chebyshev,107.0,,,,,,,,,68.0,1.0,LU,,,,,,,2.0,7.166706943829597,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
230,230,0.9515244109188539,2024-05-01 05:57:10.549047,2024-05-01 05:57:10.746472,0 days 00:00:00.197425,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.5304438788926475,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
231,231,0.9515244109188539,2024-05-01 05:57:10.747527,2024-05-01 05:57:10.985200,0 days 00:00:00.237673,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,LU,,,,,,,2.0,7.768644261792277,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
232,232,0.9515244109188539,2024-05-01 05:57:10.985947,2024-05-01 05:57:11.203017,0 days 00:00:00.217070,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.470073616225584,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
233,233,0.9515244109188539,2024-05-01 05:57:11.204068,2024-05-01 05:57:11.419483,0 days 00:00:00.215415,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.602373006444374,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
234,234,0.9515244109188539,2024-05-01 05:57:11.420491,2024-05-01 05:57:11.665835,0 days 00:00:00.245344,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.5684108545174835,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
235,235,0.48081807598140214,2024-05-01 05:57:11.669940,2024-05-01 05:57:12.019606,0 days 00:00:00.349666,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.483873422170572,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE
236,236,0.9028471814918176,2024-05-01 05:57:12.020570,2024-05-01 05:57:12.255278,0 days 00:00:00.234708,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.751348206740025,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
237,237,0.9515244109188539,2024-05-01 05:57:12.256025,2024-05-01 05:57:12.471665,0 days 00:00:00.215640,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.900264963440018,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
238,238,0.2799823582172394,2024-05-01 05:57:12.472654,2024-05-01 06:00:04.644853,0 days 00:02:52.172199,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,,,,,,,,,,,24.15146276974401,t-SNE,,,,,,,6.936430221193377,pca,90.0,exact,minkowski,6.0,,,,,,COMPLETE
239,239,0.9515244109188539,2024-05-01 06:00:04.645773,2024-05-01 06:00:04.866554,0 days 00:00:00.220781,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.974903665312049,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
240,240,0.9515244109188539,2024-05-01 06:00:04.867589,2024-05-01 06:00:05.083917,0 days 00:00:00.216328,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.074401790907274,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
241,241,0.9515244109188539,2024-05-01 06:00:05.085281,2024-05-01 06:00:05.302476,0 days 00:00:00.217195,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.96092215672069,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
242,242,0.9515244109188539,2024-05-01 06:00:05.303280,2024-05-01 06:00:05.563419,0 days 00:00:00.260139,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.019186629184484,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
243,243,0.9515244109188539,2024-05-01 06:00:05.564188,2024-05-01 06:00:05.802290,0 days 00:00:00.238102,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.09671825144104,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
244,244,0.9515244109188539,2024-05-01 06:00:05.803053,2024-05-01 06:00:06.017246,0 days 00:00:00.214193,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.088922753995279,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
245,245,0.559262912541599,2024-05-01 06:00:06.018236,2024-05-01 06:00:06.259674,0 days 00:00:00.241438,,l1,20.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.326101748455008,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
246,246,0.9028471814918176,2024-05-01 06:00:06.260434,2024-05-01 06:00:06.481667,0 days 00:00:00.221233,,l1,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.907698010013896,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
247,247,0.9515244109188539,2024-05-01 06:00:06.482637,2024-05-01 06:00:06.761878,0 days 00:00:00.279241,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.5094115306349805,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
248,248,0.9515244109188539,2024-05-01 06:00:06.762638,2024-05-01 06:00:06.978161,0 days 00:00:00.215523,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.806577508529722,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
249,249,0.9028471814918176,2024-05-01 06:00:06.979263,2024-05-01 06:00:07.197572,0 days 00:00:00.218309,,l1,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.248028071944718,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
250,250,0.46488647603941746,2024-05-01 06:00:07.198565,2024-05-01 06:00:07.374119,0 days 00:00:00.175554,,,,,,KMeans,,,,,,,,,,lloyd,random,13.0,15.0,0.01,,,,,1.0,auto,,,,,,,2.0,7.03519348019098,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
251,251,-1.0,2024-05-01 06:00:07.375132,2024-05-01 06:00:07.628333,0 days 00:00:00.253201,,,,,,OPTICS,,,,,,,,,,,,,,,,1.0,,,1.0,auto,kd_tree,85.0,xi,cityblock,392.0,,2.0,7.395491400151572,,PCA,randomized,,,,,,,,,,,,,,,False,0.65,COMPLETE
252,252,0.9515244109188539,2024-05-01 06:00:07.629211,2024-05-01 06:00:07.853952,0 days 00:00:00.224741,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.638581053859054,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
253,253,0.9515244109188539,2024-05-01 06:00:07.854968,2024-05-01 06:00:08.076688,0 days 00:00:00.221720,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,6.74018199086061,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
254,254,0.9515244109188539,2024-05-01 06:00:08.077470,2024-05-01 06:00:08.298976,0 days 00:00:00.221506,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.639208826037224,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
255,255,0.1593667007997048,2024-05-01 06:00:08.299777,2024-05-01 06:00:08.521515,0 days 00:00:00.221738,,cosine,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.12653370336797,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
256,256,0.7235088006562388,2024-05-01 06:00:08.522304,2024-05-01 06:00:08.744745,0 days 00:00:00.222441,,l1,7.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.2527155427219405,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
257,257,0.9515244109188539,2024-05-01 06:00:08.745522,2024-05-01 06:00:08.963106,0 days 00:00:00.217584,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.919660214226394,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
258,258,-1.0,2024-05-01 06:00:08.963898,2024-05-01 06:00:09.071867,0 days 00:00:00.107969,precomputed,,,,discretize,Spectral,39.04118124440241,4.0,lobpcg,,,,,,,,,,,,,,,,1.0,auto,,,,,,,2.0,7.671317067440443,,PCA,randomized,13.0,0.1,20.0,1.0,282.0,,,,,,,,,,False,,COMPLETE
259,259,0.9515244109188539,2024-05-01 06:00:09.072606,2024-05-01 06:00:09.301007,0 days 00:00:00.228401,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.058857382618083,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
260,260,0.14760999381542206,2024-05-01 06:00:09.302011,2024-05-01 06:00:20.176016,0 days 00:00:10.874005,,l1,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,0.8,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,russellrao,8.0,302.0,,,COMPLETE
261,261,0.9515244109188539,2024-05-01 06:00:20.176956,2024-05-01 06:00:20.450336,0 days 00:00:00.273380,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,18.0,auto,,,,,,,2.0,8.265040724155703,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
262,262,0.501017666477256,2024-05-01 06:00:20.451443,2024-05-01 06:00:20.698243,0 days 00:00:00.246800,,euclidean,12.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,auto,,,,,,,2.0,6.851677816838989,,PCA,randomized,,,,,,,,,,,,,,,True,,COMPLETE
263,263,0.9515244109188539,2024-05-01 06:00:20.699311,2024-05-01 06:00:20.958281,0 days 00:00:00.258970,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.909166001126245,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
264,264,0.9028471814918176,2024-05-01 06:00:20.959093,2024-05-01 06:00:21.212888,0 days 00:00:00.253795,,l1,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.476204916984566,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
265,265,-1.0,2024-05-01 06:00:21.213691,2024-05-01 06:00:21.448766,0 days 00:00:00.235075,,,,2.6,,HDBSCAN,,,,1.4000000000000001,ball_tree,35.0,eom,russellrao,392.0,,,,,,,,,132.0,2.0,auto,,,,,,,2.0,8.011448958030257,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
266,266,-1.0,2024-05-01 06:00:21.449380,2024-05-01 06:00:21.521133,0 days 00:00:00.071753,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,,,,,,,,,,,11.608232330464672,t-SNE,,,,,,,18.6093397680138,random,10.0,barnes_hut,matching,2.0,,,,,,COMPLETE
267,267,0.9515244109188539,2024-05-01 06:00:21.521619,2024-05-01 06:00:21.719630,0 days 00:00:00.198011,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,6.501573611195365,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
268,268,0.9028471814918176,2024-05-01 06:00:21.720428,2024-05-01 06:00:21.949940,0 days 00:00:00.229512,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.818093557605088,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
269,269,0.9515244109188539,2024-05-01 06:00:21.950930,2024-05-01 06:00:22.218218,0 days 00:00:00.267288,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.346534674172242,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
270,270,0.9515244109188539,2024-05-01 06:00:22.219274,2024-05-01 06:00:22.442872,0 days 00:00:00.223598,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,auto,,,,,,,2.0,8.153230211043239,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
271,271,0.9515244109188539,2024-05-01 06:00:22.443896,2024-05-01 06:00:22.665381,0 days 00:00:00.221485,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,6.6500775821541405,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
272,272,0.9028471814918175,2024-05-01 06:00:22.666410,2024-05-01 06:00:22.884766,0 days 00:00:00.218356,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,auto,,,,,,,2.0,7.567199172444343,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
273,273,0.9515244109188539,2024-05-01 06:00:22.885822,2024-05-01 06:00:23.106585,0 days 00:00:00.220763,,l1,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,8.57089333414421,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
274,274,0.7833935172876452,2024-05-01 06:00:23.107618,2024-05-01 06:00:23.363575,0 days 00:00:00.255957,,euclidean,6.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,auto,,,,,,,2.0,7.1615113869181055,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
275,275,0.9515244109188539,2024-05-01 06:00:23.364370,2024-05-01 06:00:23.579803,0 days 00:00:00.215433,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,7.89078026529793,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
276,276,-1.0,2024-05-01 06:00:23.580578,2024-05-01 06:00:24.814480,0 days 00:00:01.233902,,,,,,OPTICS,,,,,,,,,,,,,,,,1.0,,,1.0,auto,brute,60.0,dbscan,braycurtis,92.0,,2.0,8.372396301786768,,PCA,randomized,,,,,,,,,,,,,,,False,0.2,COMPLETE
277,277,0.1593667007997048,2024-05-01 06:00:24.815094,2024-05-01 06:00:25.040950,0 days 00:00:00.225856,,cosine,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,auto,,,,,,,2.0,6.882088764025055,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
278,278,0.9516454913654608,2024-05-01 06:00:25.041991,2024-05-01 06:00:25.306849,0 days 00:00:00.264858,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,none,,,,,,,3.0,7.643081790359536,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
279,279,0.9515010733932888,2024-05-01 06:00:25.307950,2024-05-01 06:00:25.562310,0 days 00:00:00.254360,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,2.0,auto,,,,,,,3.0,7.682347913094487,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
280,280,0.8973879029370778,2024-05-01 06:00:25.563075,2024-05-01 06:00:25.715474,0 days 00:00:00.152399,,,,,,KMeans,,,,,,,,,,elkan,k-means++,2.0,,0.1,,,,,2.0,none,,,,,,,3.0,7.376415873975688,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
281,281,0.9031218863871514,2024-05-01 06:00:25.716298,2024-05-01 06:00:25.944704,0 days 00:00:00.228406,,euclidean,3.0,,,Agglomerative,,,,,,,,,,,,,,,complete,,,,1.0,none,,,,,,,2.0,8.920096579526422,,PCA,randomized,,,,,,,,,,,,,,,False,,COMPLETE
282,282,0.3087359666824341,2024-05-01 06:00:25.945511,2024-05-01 06:00:37.731116,0 days 00:00:11.785605,,euclidean,2.0,,,Agglomerative,,,,,,,,,,,,,,,average,,0.5,,,,,,,,,,,,,UMAP,,,,,,,,,,,,,yule,5.0,437.0,,,COMPLETE
